,gene_id,abundance
375,NP_416744.1,14
376,NP_418769.1,346
377,NP_417921.1,1149
378,NP_417847.1,911
379,NP_416511.4,20277
380,NP_418101.1,710
381,NP_415341.1,343
382,NP_415626.4,793
383,NP_417006.2,267
384,NP_417659.1,1567
385,NP_418344.3,21660
386,NP_414556.1,688
387,NP_418596.1,1290
388,NP_416585.1,265
389,NP_415280.3,621
390,NP_416540.1,836
391,NP_415104.1,1475
392,NP_415300.1,134
393,NP_418396.1,395
394,NP_416175.1,826
395,NP_418553.1,493
396,NP_417764.1,18104
397,NP_414940.1,846
398,NP_417843.1,1818
399,NP_415613.1,1917
400,NP_415611.1,4675
401,NP_416658.1,14176
402,NP_414651.1,631
403,NP_415278.1,369
404,NP_416889.1,497
405,NP_416130.3,914
406,NP_416237.3,939
407,NP_415718.6,754
408,NP_418653.1,944
409,NP_416654.1,25
410,NP_417910.1,113
411,NP_415428.1,2056
412,NP_416525.1,2203
413,NP_416524.1,3447
414,NP_415641.1,3341
415,NP_415957.1,82
416,NP_417090.1,1584
417,NP_415384.1,1927
418,NP_415779.1,1025
419,NP_414615.4,4588
420,NP_417474.1,167
421,NP_415961.1,313
422,NP_417719.1,1097
423,NP_417929.4,2176
424,NP_415948.1,1470
425,NP_414757.1,3370
426,NP_418096.4,252
427,NP_416531.4,1637
428,NP_415849.1,1445
429,NP_417864.1,828
430,NP_415193.2,734
431,NP_417151.1,1857
432,NP_415524.1,5306
433,NP_418162.1,292
434,NP_417012.1,215
435,NP_416996.1,60
436,NP_416917.1,705
437,NP_417806.1,5679
438,NP_417860.2,2363
439,NP_416196.1,252
440,NP_414627.1,512
441,NP_418077.1,189
442,YP_026164.1,59
443,NP_415059.1,550
444,NP_414714.1,5649
445,NP_416233.1,6930
446,NP_417765.1,22152
447,NP_418047.1,49
448,NP_415610.1,3385
449,NP_418247.1,587
450,NP_414676.1,2579
451,NP_414675.1,1286
452,NP_417422.1,1279
453,NP_416912.1,33524
454,NP_417888.1,240
455,NP_418742.1,395
456,NP_416414.1,35
457,NP_416674.1,301
458,,580
459,NP_416489.1,426
460,NP_414646.1,1145
461,NP_416815.1,771
462,NP_415013.1,363
463,NP_418394.3,6391
464,NP_416208.1,881
465,YP_026231.1,553
466,NP_418374.1,1916
467,NP_417481.1,2128
468,NP_416278.1,708
469,NP_417232.1,1300
470,NP_417242.1,1861
471,NP_417295.1,333
472,NP_416526.4,2794
473,NP_415392.1,258
474,NP_416742.1,164
475,NP_418191.1,7700
476,NP_414890.1,551
477,NP_415110.1,1503
478,NP_416543.1,635
479,NP_414687.1,5844
480,YP_026161.1,2318
481,NP_418818.1,3367
482,NP_417264.1,64
483,NP_415894.4,1378
484,NP_415140.1,1174
485,NP_417700.2,5444
486,NP_418213.1,5671
487,NP_417007.1,962
488,NP_415966.6,663
489,NP_418594.1,239
490,NP_415753.1,22541
491,NP_417155.1,6863
492,NP_416057.1,1891
493,NP_417086.1,1372
494,NP_418585.4,374
495,NP_416241.1,519
496,NP_416926.4,489
497,NP_418635.1,917
498,NP_418180.1,338
499,NP_418327.1,373
500,NP_414709.1,126
501,NP_415582.1,2666
502,NP_417822.1,2576
503,NP_415840.1,24694
504,NP_417463.4,769
505,NP_415788.1,413
506,NP_414915.1,140
507,NP_417970.1,13
508,NP_414927.1,561
509,NP_416227.1,4676
510,NP_415791.1,523
511,NP_416341.1,546
512,NP_415409.1,6092
513,NP_418410.1,11140
514,NP_416690.1,20176
515,NP_417697.1,8821
516,NP_416819.1,1660
517,NP_416846.2,472
518,NP_418584.1,1620
519,NP_416319.1,150
520,NP_417476.1,150
521,NP_415303.1,2560
522,NP_418285.1,244
523,NP_415204.1,550
524,NP_417563.1,143
525,NP_415716.4,340
526,NP_416333.4,341
527,NP_418648.1,99
528,NP_415748.1,2304
529,NP_418634.1,134
530,NP_418393.1,1718
531,NP_416916.1,1533
532,NP_415645.1,262
533,NP_418048.1,181
534,NP_415321.1,716
535,NP_416973.1,3589
536,NP_417997.1,309
537,NP_417462.1,184
538,NP_416195.1,508
539,NP_415778.3,804
540,NP_417998.1,367
541,NP_416788.1,748
542,NP_415322.1,1634
543,NP_415924.1,413
544,NP_418192.1,8988
545,NP_417047.1,149
546,NP_418475.1,871
547,NP_418161.1,842
548,NP_417952.1,37520
549,NP_415739.1,1239
550,NP_414547.1,803
551,NP_414960.2,10057
552,NP_415004.1,6880
553,NP_415940.1,43
554,NP_415469.1,156
555,NP_416691.1,833
556,NP_417275.1,199
557,NP_417672.1,231
558,NP_417897.1,424
559,NP_416476.1,628
560,NP_417668.1,1635
561,NP_416714.1,146
562,NP_417615.1,383
563,NP_415417.1,1884
564,NP_418117.1,1867
565,NP_417016.4,821
566,NP_416015.2,14
567,NP_418184.1,305
568,NP_414693.1,154
569,NP_416225.1,1158
570,NP_417369.1,1421
571,NP_418297.1,4138
572,NP_416198.2,266
573,NP_416197.1,628
574,NP_415359.4,627
575,NP_416152.1,685
576,NP_416433.1,3
577,NP_416192.1,48939
578,NP_414691.1,91
579,NP_414633.1,435
580,NP_414628.1,530
581,NP_415269.1,18234
582,NP_414624.1,374
583,NP_418476.1,207
584,NP_415931.4,32
585,NP_416263.1,658
586,NP_415202.1,124
587,NP_418467.1,560
588,NP_415820.1,934
589,NP_417746.1,715
590,NP_417778.1,21084
591,NP_417769.1,7098
592,NP_417753.1,18397
593,NP_417768.1,49826
594,NP_417780.1,39792
595,NP_417757.1,23450
596,NP_415356.1,326
597,YP_026272.1,425
598,NP_416136.1,197
599,NP_416844.1,23
600,NP_416843.1,24
601,YP_026260.1,224
602,NP_418246.1,144
603,NP_415271.1,368
604,NP_415062.1,1861
605,NP_415125.1,193
606,NP_416735.1,1335
607,NP_415551.2,1020
