,dna,rna,protein,lipids,metabolites
0.675252525253,2079.5881715709988,247.54737056406896,34.055294750238517,823.22915442533485,0
0.684242424242,2108.6058749771046,252.17440362019497,34.774953872567799,835.52046253959873,0
0.693232323232,2137.6235783832108,256.80143667632086,35.58820472196102,847.81177065386271,0
0.702222222222,2166.641281789317,261.4284697324469,36.438758447773999,860.10307876812669,0
0.711212121212,2195.6589851954227,266.05550278857282,37.289312173586993,872.39438688239068,0
0.720202020202,2224.6766886015289,270.68253584469886,38.139865899399979,884.68569499665466,0
0.729191919192,2253.6943920076346,275.30956890082479,38.990419625212965,896.97700311091864,0
0.738181818182,2282.7120954137408,279.93660195695071,39.840973351025966,909.26831122518286,0
0.747171717172,2311.729798819847,284.56363501307675,40.691527076838938,921.55961933944684,0
0.756161616162,2340.7475022259532,289.19066806920273,41.542080802651931,933.85092745371082,0
0.765151515152,2369.7652056320594,293.81770112532877,42.39263452846491,946.14223556797481,0
0.774141414141,2398.7829090381656,298.44473418145469,43.35080228355131,958.43354368223879,0
0.783131313131,2427.8006124442709,303.07176723758067,44.318733051196958,970.72485179650266,0
0.792121212121,2456.8183158503771,307.69880029370665,45.360915451023018,983.01615991076653,0
0.801111111111,2485.8360192564833,312.32583334983264,46.443180367516391,995.30746802503063,0
0.810101010101,2514.8537226625895,316.95286640595856,47.52544528400977,1007.5987761392945,0
0.819090909091,2543.8714260686952,321.5798994620846,48.607710200503135,1019.8900842535587,0
0.828080808081,2572.8891294748014,326.20693251821058,49.689975116996521,1032.1813923678226,0
0.837070707071,2601.9068328809071,330.8339655743365,50.827918596122785,1044.4727004820868,0
0.846060606061,2630.9245362870133,335.46099863046248,52.018178612419987,1056.7640085963505,0
0.855050505051,2659.9422396931195,340.08803168658841,53.20843862871719,1069.0553167106148,0
0.86404040404,2688.9599430992257,344.71506474271445,54.398698645014392,1081.3466248248787,0
0.87303030303,2717.977646505331,349.34209779884031,55.630594014364576,1093.6379329391423,0
0.88202020202,2746.9953499114372,353.96913085496618,56.994617176336178,1105.9292410534065,0
0.89101010101,2776.0130533175429,358.59616391109222,58.39092053509637,1118.2205491676702,0
0.9,2805.0307567236491,363.22319696721826,59.787223893856549,1130.5118572819345,0
