gene_id,abundance
NP_416192.1,48939
NP_414691.1,91
NP_414633.1,435
NP_414628.1,530
NP_415269.1,18234
NP_414624.1,374
NP_418476.1,207
NP_415931.4,32
NP_416263.1,658
NP_415202.1,124
NP_418467.1,560
NP_415820.1,934
NP_417746.1,715
NP_417778.1,21084
NP_417769.1,7098
NP_417753.1,18397
NP_417768.1,49826
NP_417780.1,39792
NP_417757.1,23450
NP_415356.1,326
YP_026272.1,425
NP_416136.1,197
NP_416844.1,23
NP_416843.1,24
YP_026260.1,224
NP_418246.1,144
NP_415271.1,368
NP_415062.1,1861
NP_415125.1,193
NP_416735.1,1335
NP_415551.2,1020
NP_417389.1,2758
NP_415293.1,1377
NP_416034.1,88
NP_417028.1,1439
NP_416994.1,2544
NP_415797.1,1507
NP_416832.1,798
NP_415707.1,51
NP_416867.1,67
NP_414613.1,5119
NP_415375.1,3029
NP_414544.1,594
YP_026215.2,2112
NP_418126.1,1075
NP_415391.1,316
NP_417492.1,47
YP_025300.1,144
NP_415381.1,9359
NP_418647.1,8350
NP_415261.2,344
NP_414965.1,957
NP_417552.1,43
NP_417437.1,3446
NP_417145.4,56
NP_415176.1,540
NP_418779.2,77
NP_417944.1,179
NP_415102.1,217
NP_416721.1,2769
NP_415340.1,3469
NP_415574.1,2094
NP_418302.1,1175
NP_416221.1,70
NP_418071.4,126
NP_418793.1,10489
NP_415485.4,1847
NP_417622.2,288
NP_418152.1,511
NP_418169.1,1687
NP_414754.1,219
NP_415467.1,212
NP_417738.4,840
NP_414665.1,1034
NP_417676.2,1274
NP_415127.1,243
NP_417660.1,1098
NP_415209.1,6492
NP_414668.1,3642
NP_415281.1,233
NP_418352.1,1357
NP_416371.4,434
NP_417022.1,845
NP_417573.1,107
NP_416292.1,1301
NP_415952.2,27
NP_417855.4,31
NP_415335.1,22443
YP_025304.1,14116
NP_416578.2,126
NP_417399.1,2854
NP_417648.4,2449
NP_417221.1,219
NP_414685.4,43
NP_418412.1,34448
NP_417698.1,31492
NP_417097.1,5503
NP_416688.1,1510
NP_418017.1,1660
NP_416253.1,4610
NP_416921.4,122
NP_415296.1,366
NP_415161.1,437
