Supplementary Dataset 3 - Universe of biomolecular components used in modeling prokaryotic biomass in manually curated GEMs,,,
Biomolecular components - 518,tRNA charged - 20,Inorganic ions - 16,Water
_PIM5,,,
_PIM6,,,
_pmtcoa,,,
_pnto_R,,,
_poly_beta_hydroxybutyrate,,,
_poly_l_glutamate_glutamine,,,
_poly-saccharide,,,
_polygp,,,
_ppcoa,,,
_ppdima,,,
_ppi,,,
_ppp9,,,
_pqq,,,
_pro_L,,,
_ps,,,
_ps160,,,
_ps161,,,
_ps180,,,
_ps181_9,,,
_ptdmeeta,,,
_ptrc,,,
_pydx5p,,,
_pyr,,,
_q_n,,,
_q8h2,,,
_quln,,,
_r5p,,,
_retinal,,,
_rib_D,,,
_ribflv,,,
_rmn,,,
_ser_L,,,
_sheme,,,
_sl1,,,
_spheroidene,,,
_spirilloxanthin,,,
_spmd,,,
_sqdg,,,
_sqdg161,,,
_sqdg180,,,
_sqdg181,,,
_sqdg181_9,,,
_sqdg182_9_12,,,
_sqdg183_6_9_12,,,
_sqdg183_9_12_15,,,
_sqdg184_6_9_12_15,,,
_stcoa,,,
_stearidonic_acid,,,
_Stearoylcardiolipin,,,
_Stearoyllysylphophatidylglycerol,,,
_succ,,,
_succoa,,,
_t12dg,,,
_tat,,,
_tdeACP,,,
_teich,,,
_thbh,,,
_thbhet,,,
_thbhga,,,
_thf,,,
_thm,,,
_thmpp,,,
_thr_L,,,
_thym,,,
_thymd,,,
_tmha1,,,
_tmha2,,,
_tmha3,,,
_tmha4,,,
_tre,,,
_tre6p,,,
_trehalose_dimycolate,,,
_trehalose_monomycolate,,,
_tres,,,
_Triglucosyl_1_2_dianteisoheptadecanoylglycerol,,,
_Triglucosyl_1_2_dianteisopentadecanoylglycerol,,,
_Triglucosyl_1_2_diisoheptadecanoylglycerol,,,
_Triglucosyl_1_2_diisohexadecanoylglycerol,,,
_Triglucosyl_1_2_diisopentadecanoylglycerol,,,
_Triglucosyl_1_2_diisotetradecanoylglycerol,,,
_Triglucosyl_1_2_dimyristoylglycerol,,,
_Triglucosyl_1_2_dipalmitoylglycerol,,,
_Triglucosyl_1_2_distearoylglycerol,,,
_triglyc_,,,
_trp_L,,,
_ttccoa,,,
_ttdca,,,
_tyr_L,,,
_uaaAgla,,,
_uaaGgla,,,
_uaagmda,,,
_uacgam,,,
_uamr,,,
_udcpdp,,,
_udcpp,,,
_udpacgal,,,
_udpg,,,
_udpgal,,,
_udpgalur,,,
_ugagmda,,,
_ump,,,
_uri,,,
_utp,,,
_val_L,,,
_zeax,,,
